City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,raudeberg,61.9849,5.1378,281.03,100,100,7.92,Europe/Oslo,1675895954
192,luanda,-8.8273,13.244,300.76,78,0,3.09,Africa/Luanda,1675895956
193,tres passos,-27.4556,-53.9294,310.62,29,24,1.27,America/Sao_Paulo,1675895957
194,talnakh,69.494,88.3908,252.7,96,100,4.1,Asia/Krasnoyarsk,1675895959
195,koslan,63.4562,48.8942,272.99,93,52,4.2,Europe/Moscow,1675895961
196,freeport,42.2967,-89.6212,278.59,75,0,0.0,America/Chicago,1675895962
197,portland,45.5202,-122.6742,283.31,72,75,2.06,America/Los_Angeles,1675895965
198,leh,34.1642,77.5848,267.59,93,100,0.82,Asia/Kolkata,1675895967
199,arak,34.0865,49.6888,273.54,74,61,4.2,Asia/Tehran,1675895968
200,saint-joseph,49.5345,-1.5298,280.09,86,0,1.03,Europe/Paris,1675895970
201,coquimbo,-29.9532,-71.338,294.93,72,0,5.14,America/Santiago,1675895971
202,kununurra,-15.7731,128.7388,312.0,79,40,3.6,Australia/Perth,1675895973
203,hay river,60.8156,-115.7866,263.16,67,20,4.63,America/Yellowknife,1675895975
204,san patricio,27.9695,-97.7732,293.23,55,100,5.5,America/Chicago,1675895976
205,thompson,55.7433,-97.8635,265.31,79,100,4.12,America/Winnipeg,1675895977
206,toliary,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895978
207,tonota,-21.4378,27.4634,305.42,59,43,2.29,Africa/Gaborone,1675895980
208,marsa matruh,31.3529,27.2395,286.4,58,75,4.12,Africa/Cairo,1675895981
209,marystown,47.1658,-55.158,272.44,79,95,7.07,America/St_Johns,1675895982
210,ambodifototra,-16.9996,49.8526,300.68,79,61,2.16,Indian/Antananarivo,1675895983
211,hazorasp,41.3223,61.068,275.02,61,100,8.59,Asia/Samarkand,1675895985
212,lagoa,37.1326,-8.4551,287.54,83,15,3.34,Europe/Lisbon,1675895986
213,tura,47.39,0.6889,280.35,74,0,1.54,Europe/Paris,1675895990
214,buraydah,26.3317,43.9717,288.74,62,0,2.57,Asia/Riyadh,1675895992
215,dawlatabad,36.4204,64.8975,282.13,87,100,1.2,Asia/Kabul,1675895993
216,manoel urbano,-8.8388,-69.2619,301.06,98,82,1.76,America/Rio_Branco,1675895994
217,constitucion,-35.3318,-72.4119,295.6,67,17,6.15,America/Santiago,1675895995
218,belushya guba,71.5377,52.3427,273.77,92,100,4.42,Europe/Moscow,1675895997
219,lakatoro,-16.1068,167.4185,301.67,76,96,4.34,Pacific/Efate,1675895998
220,el cobre,-32.7518,-70.9654,306.95,39,0,3.41,America/Santiago,1675895999
221,westport,41.1415,-73.3579,281.57,53,0,2.57,America/New_York,1675896000
222,sao jose da coroa grande,-8.8894,-35.1515,301.87,77,94,3.13,America/Recife,1675896002
223,bathsheba,13.2129,-59.5227,299.68,73,40,7.72,America/Barbados,1675896004
224,srednekolymsk,67.4555,153.7071,240.44,97,100,2.99,Asia/Srednekolymsk,1675896006
225,dikson,73.5084,80.5124,257.7,79,100,5.93,Asia/Krasnoyarsk,1675896007
226,vermillion,42.7795,-96.9291,279.24,96,63,2.77,America/Chicago,1675896009
227,hastings,50.8554,0.5825,279.02,60,8,3.15,Europe/London,1675896011
228,bluff,-46.5988,168.3434,286.59,58,70,8.84,Pacific/Auckland,1675896013
229,victoria,48.4283,-123.365,280.72,76,75,6.26,America/Vancouver,1675896015
230,cruzeiro do sul,-29.514,-51.9917,312.18,46,46,3.4,America/Sao_Paulo,1675896016
231,grado,45.6781,13.3979,277.08,48,1,7.2,Europe/Rome,1675896018
232,deputatskiy,54.8408,61.127,268.09,93,100,5.18,Asia/Yekaterinburg,1675896023
233,matara,5.9478,80.5483,303.85,88,68,2.79,Asia/Colombo,1675896025
234,shenjiamen,29.9479,122.2798,284.58,82,100,7.77,Asia/Shanghai,1675896026
235,sola,37.5667,126.9783,280.51,77,0,2.06,Asia/Seoul,1675896028
236,alexandria,31.199,29.8944,287.02,56,67,5.89,Africa/Cairo,1675896034
237,lata,18.3983,76.5621,305.22,34,72,2.67,Asia/Kolkata,1675896035
238,parana,-31.733,-60.5299,314.26,21,34,1.28,America/Argentina/Cordoba,1675896037
239,le port,42.8663,1.374,279.4,64,45,2.22,Europe/Paris,1675896039
240,aden,12.7896,45.0285,298.86,71,20,0.98,Asia/Aden,1675896040
241,aklavik,68.2183,-135.0136,246.15,76,75,1.54,America/Inuvik,1675896041
242,marcona,-15.2155,-75.083,298.13,76,23,6.72,America/Lima,1675896042
243,port augusta,-32.4909,137.764,312.79,15,0,1.19,Australia/Adelaide,1675896044
244,sao miguel do araguaia,-13.2726,-50.1627,304.35,85,76,1.94,America/Sao_Paulo,1675896045
245,gualeguay,-33.1504,-59.3107,314.19,19,71,3.19,America/Argentina/Cordoba,1675896046
246,sinjar,35.5898,37.004,280.97,61,0,3.31,Asia/Damascus,1675896047
247,boromo,11.7448,-2.93,311.16,14,53,3.07,Africa/Ouagadougou,1675896048
248,port elizabeth,-33.9617,25.6208,294.78,82,75,1.03,Africa/Johannesburg,1675896050
249,alakurtti,66.964,30.3424,274.13,86,100,7.54,Europe/Moscow,1675896051
250,maputo,-25.9662,32.5675,300.3,96,100,3.05,Africa/Maputo,1675896052
251,egvekinot,66.3227,-179.1201,250.25,95,100,2.12,Asia/Anadyr,1675896053
252,andarab,37.8879,47.5172,269.04,87,100,2.93,Asia/Tehran,1675896054
253,shelburne,44.3783,-73.2276,279.5,49,20,2.06,America/New_York,1675896056
254,tyukhtet,56.5398,89.3115,260.08,97,98,1.62,Asia/Krasnoyarsk,1675896057
255,jiuquan,39.7321,98.4937,279.15,64,0,2.7,Asia/Shanghai,1675896058
256,sandpoint,48.2766,-116.5532,277.52,66,100,4.12,America/Los_Angeles,1675896059
257,norman wells,65.2824,-126.8327,252.52,76,75,0.0,America/Inuvik,1675896061
